item,metric,price
Papvita,,140
Sprouted Ragi Powder,,65
Spr. Ragi Powder - Strawberry,,65
Sprouted Wheat Powder,,50
Masti Millet Mix,,55
Health Mix,,65
Multigrain Pongal,,90
Millet Pongal,,90
Millet Upma,,90
Millet Bisibelebath,,100
Millet Sambarbath,,100
Millet Temple Pulihora,,100
Millet Kanchi Idly,,100
Multigrain Atta,,120
Gluten free Flour,,220
Amwhea 80-20,,100
Browace Flour,,300
Bryo Rava,,135
Rasam Powder,,55
Sambar Powder,,45
Pepper Rasam Powder,,70
Curry Powder,,50
Amherb Tea,,90
Idly Mix,,70
Dosa Mix,,75
Insta Dosa PRO Mix,,85
Tasty Cereal Mix,,220
Delight Medley PRO ,,220
Okra ,,0
Brinjal,,0
Sprouted Ragi powder,,120
Tasty Cereal Mix Multigrain Porridge,,120
Tasty Cereal Mix,,120
Delight Medley PRO,,120
Papmeal,,130
Red Watermelon,,0
Pomegranate,,0
Avocado,,0
Grapes,,0
vermicompost,,0
Cabbage,,0
Cauliflower,,0
Sprouted Wheat Powder,,145
Health Mix,,160